Gmaps,Latitude,Longitude,Nama Kepolisian,Alamat,Nomor Telepon,Kabupaten
https://www.google.com/maps/place/Polres+Gunungkidul/data=!4m7!3m6!1s0x2e7bb4822c8bfc15:0xa0c6d8bc47812314!8m2!3d-7.970405!4d110.605462!16s%2Fg%2F11g9vnhv53!19sChIJFfyLLIK0ey4RFCOBR7zYxqA?authuser=0&hl=id&rclk=1,-7.970405,110.605462,Polres Gunungkidul,Jl. Mgr. Sugiyo Pranoto No.15,(0274) 391410,Gunungkidul
https://www.google.com/maps/place/Polsek+Wonosari/data=!4m7!3m6!1s0x2e7bb3f148afc3e7:0x7b2d63c6a98b6ced!8m2!3d-7.9745371!4d110.5944305!16s%2Fg%2F11ghny4jd2!19sChIJ58OvSPGzey4R7WyLqcZjLXs?authuser=0&hl=id&rclk=1,-7.9745371,110.5944305,Polsek Wonosari,"Jl. Bhayangkara no 01, Seneng",0877-3875-3111,Gunungkidul
https://www.google.com/maps/place/Polsek+Patuk/data=!4m7!3m6!1s0x2e7a51c262749921:0x94e2bf5e566c1171!8m2!3d-7.8514998!4d110.4873377!16s%2Fg%2F11t5td3snf!19sChIJIZl0YsJRei4RcRFsVl6_4pQ?authuser=0&hl=id&rclk=1,-7.8514998,110.4873377,Polsek Patuk,Polsek Patuk,,Gunungkidul
https://www.google.com/maps/place/Polsek+Panggang/data=!4m7!3m6!1s0x2e7bab892d81e3fb:0x8d3564d6827d506c!8m2!3d-8.0127954!4d110.420255!16s%2Fg%2F1q6j72f8x!19sChIJ--OBLYmrey4RbFB9gtZkNY0?authuser=0&hl=id&rclk=1,-8.0127954,110.420255,Polsek Panggang,XCPC+V4J,0821-1536-5996,Gunungkidul
https://www.google.com/maps/place/Polsek+Purwosari/data=!4m7!3m6!1s0x2e7baba813db374b:0x5bd2ba26faf16159!8m2!3d-7.9945044!4d110.3735285!16s%2Fg%2F11bc7tsj16!19sChIJSzfbE6irey4RWWHx-ia60ls?authuser=0&hl=id&rclk=1,-7.9945044,110.3735285,Polsek Purwosari,Jl. Parangtritis No.Km 7,(0274) 7467152,Gunungkidul
https://www.google.com/maps/place/Polsek+Saptosari/data=!4m7!3m6!1s0x2e7bae0de9db3ca1:0x857db8226997fd89!8m2!3d-8.046785!4d110.514373!16s%2Fg%2F11bc7r7vnc!19sChIJoTzb6Q2uey4Rif2XaSK4fYU?authuser=0&hl=id&rclk=1,-8.046785,110.514373,Polsek Saptosari,Jl. Raya Panggang Wonosari No.KM 22,,Gunungkidul
https://www.google.com/maps/place/Polsek+Nglipar/data=!4m7!3m6!1s0x2e7a497c59a3464b:0xd047d8c8137bb692!8m2!3d-7.8855202!4d110.6201956!16s%2Fg%2F1q629jqv2!19sChIJS0ajWXxJei4RkrZ7E8jYR9A?authuser=0&hl=id&rclk=1,-7.8855202,110.6201956,Polsek Nglipar,Jl. Nglipar,(0274) 391410,Gunungkidul
https://www.google.com/maps/place/Polsek+Semanu/data=!4m7!3m6!1s0x2e7bb44bd93d8b01:0x5c7e62f7b77d4051!8m2!3d-8.0042426!4d110.6588583!16s%2Fg%2F11c5_0yss1!19sChIJAYs92Uu0ey4RUUB9t_diflw?authuser=0&hl=id&rclk=1,-8.0042426,110.6588583,Polsek Semanu,"XMW5+8G5, Jl. Raya Semanu-Rongkop",(0274) 392404,Gunungkidul
https://www.google.com/maps/place/Polsek+Playen/data=!4m7!3m6!1s0x2e7a4d08b7924211:0x7a42b93e84516089!8m2!3d-7.9145524!4d110.5560111!16s%2Fg%2F11b7tpm8bf!19sChIJEUKStwhNei4RiWBRhD65Qno?authuser=0&hl=id&rclk=1,-7.9145524,110.5560111,Polsek Playen,Jl. Jogja - Wonosari No.Km 33,,Gunungkidul
https://www.google.com/maps/place/Polsek+Gedangsari/data=!4m7!3m6!1s0x2e7a4eea8057ca67:0x2946567ac6f0f564!8m2!3d-7.8443731!4d110.5927628!16s%2Fg%2F11b6tw4nfl!19sChIJZ8pXgOpOei4RZPXwxnpWRik?authuser=0&hl=id&rclk=1,-7.8443731,110.5927628,Polsek Gedangsari,Jl.Raya Gedangsari-Sambipitu Km.01 Gunungkidul,0878-5503-2227,Gunungkidul
https://www.google.com/maps/place/Polsek+Ponjong/data=!4m7!3m6!1s0x2e7bb4c7c53c3481:0xceb83d3480ca6114!8m2!3d-7.9727076!4d110.7127966!16s%2Fg%2F1pztl9k9_!19sChIJgTQ8xce0ey4RFGHKgDQ9uM4?authuser=0&hl=id&rclk=1,-7.9727076,110.7127966,Polsek Ponjong,"2PH7+463, Jl. Jend. Soedirman No. 10, Ponjong",(0274) 7489102,Gunungkidul
https://www.google.com/maps/place/Polsek+Ngawen/data=!4m7!3m6!1s0x2e7a48630b092ad7:0xdaed8d93af239286!8m2!3d-7.8313345!4d110.7019447!16s%2Fg%2F1q62g5krw!19sChIJ1yoJC2NIei4RhpIjr5ON7do?authuser=0&hl=id&rclk=1,-7.8313345,110.7019447,Polsek Ngawen,,(0274) 391410,Gunungkidul
https://www.google.com/maps/place/Polsek+Karangmojo/data=!4m7!3m6!1s0x2e7bb50a66b24aff:0x18d8ae6efb002d3e!8m2!3d-7.955738!4d110.6528378!16s%2Fg%2F11jtypxwpz!19sChIJ_0qyZgq1ey4RPi0A-26u2Bg?authuser=0&hl=id&rclk=1,-7.955738,110.6528378,Polsek Karangmojo,"2MV3+P44, Jl. Karangmojo - Wonosari",,Gunungkidul
https://www.google.com/maps/place/Polsek+Paliyan/data=!4m7!3m6!1s0x2e7bb2283a2f8c8f:0x2b0492292541d45e!8m2!3d-8.0021854!4d110.5128063!16s%2Fg%2F11bbrkg76j!19sChIJj4wvOiiyey4RXtRBJSmSBCs?authuser=0&hl=id&rclk=1,-8.0021854,110.5128063,Polsek Paliyan,Jl. Raya Paliyan,(0274) 391410,Gunungkidul
https://www.google.com/maps/place/Polsek+Tepus/data=!4m7!3m6!1s0x2e7bb9fc43a223ed:0xe323be9a0d196bdd!8m2!3d-8.1153281!4d110.6359294!16s%2Fg%2F11j2cc5kxl!19sChIJ7SOiQ_y5ey4R3WsZDZq-I-M?authuser=0&hl=id&rclk=1,-8.1153281,110.6359294,Polsek Tepus,"VJMP+V97, Jalan",,Gunungkidul
https://www.google.com/maps/place/Polsek+Rongkop/data=!4m7!3m6!1s0x2e7bc88926a88081:0x9bd3973140ffac04!8m2!3d-8.068877!4d110.7585946!16s%2Fg%2F1q62bqlkp!19sChIJgYCoJonIey4RBKz_QDGX05s?authuser=0&hl=id&rclk=1,-8.068877,110.7585946,Polsek Rongkop,"Jl. Raya Baran - Wonosari Km. 3, Semugih, Rongkop",0811-2687-423,Gunungkidul
https://www.google.com/maps/place/Polsek+Girisubo/data=!4m7!3m6!1s0x2e7bc6e665399b4b:0x595eca37e352b0e8!8m2!3d-8.1623529!4d110.7695048!16s%2Fg%2F11c2pwjg8w!19sChIJS5s5ZebGey4R6LBS4zfKXlk?authuser=0&hl=id&rclk=1,-8.1623529,110.7695048,Polsek Girisubo,RQQ9+3R2,0813-9974-5747,Gunungkidul
https://www.google.com/maps/place/Polsek+Semin/data=!4m7!3m6!1s0x2e7a35edf8fbf985:0xd8c513a2a6ee8d8c!8m2!3d-7.8631033!4d110.7253051!16s%2Fg%2F11cjp7wsbc!19sChIJhfn7-O01ei4RjI3upqITxdg?authuser=0&hl=id&rclk=1,-7.8631033,110.7253051,Polsek Semin,Jl. Raya Semin KM.1,(0274) 7467160,Gunungkidul
https://www.google.com/maps/place/Polsek+Tanjungsari/data=!4m7!3m6!1s0x2e7bb0f8a9de7d67:0xeaea209e3b3ae0c1!8m2!3d-8.0640562!4d110.5782275!16s%2Fg%2F11bc7qxx2n!19sChIJZ33eqfiwey4RweA6O54g6uo?authuser=0&hl=id&rclk=1,-8.0640562,110.5782275,Polsek Tanjungsari,Jl. Baron No.12,(0274) 7467153,Gunungkidul
https://www.google.com/maps/place/Kantor+Polisi+Sektor+Ponjong/data=!4m7!3m6!1s0x2e7bb56055555555:0x17be6ecdd6da718f!8m2!3d-7.9664526!4d110.7092666!16s%2Fg%2F11b67ybcnw!19sChIJVVVVVWC1ey4Rj3Ha1s1uvhc?authuser=0&hl=id&rclk=1,-7.9664526,110.7092666,Polsek Ponjong,,,Gunungkidul
